EVENTNUM,EVENTMSGTYPE,HOMEDESCRIPTION,VISITORDESCRIPTION,TEAM
384,4,RAPTORS Rebound,,
385,6,,Gibson L.B.FOUL (P1.T1) (G.Petraitis),CHI
386,2,MISS Scola 1' Driving Layup,Portis BLOCK (1 BLK),TOR
387,4,Scola REBOUND (Off:4 Def:0),,TOR
388,2,MISS Scola 1' Layup,,TOR
389,4,,Portis REBOUND (Off:0 Def:6),CHI
390,1,,Portis 3' Layup (4 PTS) (Butler 3 AST),CHI
392,2,MISS Joseph 2' Driving Layup,Gibson BLOCK (2 BLK),TOR
393,4,RAPTORS Rebound,,
394,1,Scola 17' Jump Shot (17 PTS) (Joseph 4 AST),,TOR
395,5,,Portis 3 Second Violation Turnover (P1.T9),CHI
396,1,Lowry 2' Driving Layup (15 PTS),,TOR
397,6,,Portis S.FOUL (P3.T2) (N.Buchert),CHI
398,3,Lowry Free Throw 1 of 1 (16 PTS),,TOR
400,8,,SUB: Moore FOR Snell,CHI
401,10,Jump Ball Ross vs. Butler: Tip to Patterson,,TOR
402,5,Ross STEAL (2 STL),Butler Lost Ball Turnover (P3.T10),CHI
404,2,MISS Lowry 3' Driving Floating Bank Jump Shot,,TOR
405,4,,Gibson REBOUND (Off:2 Def:2),CHI
407,5,Scola STEAL (2 STL),Moore Bad Pass Turnover (P1.T11),CHI
408,1,Lowry 2' Running Layup (18 PTS) (Scola 2 AST),,TOR
409,9,,Bulls Timeout: Regular (Reg.4 Short 1),
411,8,,SUB: Mirotic FOR Portis,CHI
412,6,Ross P.FOUL (P1.T1) (N.Buchert),,TOR
414,2,Scola BLOCK (1 BLK),MISS Gibson 3' Layup,CHI
415,4,,Brooks REBOUND (Off:1 Def:5),CHI
417,1,,Butler 10' Turnaround Bank Shot (25 PTS),CHI
418,1,Joseph 3' Driving Floating Bank Jump Shot (13 PTS),,TOR
419,1,,Butler 1' Driving Layup (27 PTS),CHI
420,5,Joseph Bad Pass Turnover (P2.T9),Mirotic STEAL (1 STL),TOR
421,6,Joseph P.FOUL (P2.T2) (N.Buchert),,TOR
422,8,,SUB: McDermott FOR Brooks,CHI
423,2,Lowry BLOCK (1 BLK),MISS McDermott 2' Cutting Layup Shot,CHI
424,4,Patterson REBOUND (Off:0 Def:5),,TOR
425,1,Lowry 2' Driving Layup (20 PTS),,TOR
426,6,Ross S.FOUL (P2.T3) (N.Buchert),,TOR
427,3,,Butler Free Throw 1 of 2 (28 PTS),CHI
429,3,,Butler Free Throw 2 of 2 (29 PTS),CHI
431,6,,Moore P.FOUL (P1.T3) (R.Garretson),CHI
433,1,Scola  3PT Jump Shot (20 PTS) (Lowry 10 AST),,TOR
434,2,,MISS Butler 25' 3PT Jump Shot,CHI
435,4,,Bulls Rebound,
436,6,Scola L.B.FOUL (P3.T4) (N.Buchert),,TOR
437,9,,,
438,8,SUB: DeRozan FOR Ross,,TOR
440,1,,Butler 2' Cutting Layup Shot (31 PTS) (Mirotic 1 AST),CHI
441,2,MISS Lowry 20' Turnaround Jump Shot,,TOR
442,4,,Gibson REBOUND (Off:2 Def:3),CHI
443,1,,Mirotic 25' 3PT Jump Shot (15 PTS) (Butler 4 AST),CHI
445,8,,SUB: Brooks FOR McDermott,CHI
446,8,,SUB: Gasol FOR Gibson,CHI
447,2,MISS Patterson  3PT Jump Shot,,TOR
448,4,,Gasol REBOUND (Off:1 Def:10),CHI
450,1,,Butler 14' Pullup Bank Shot (33 PTS),CHI
451,2,MISS Joseph 25' 3PT Jump Shot,,TOR
452,4,,Gasol REBOUND (Off:1 Def:11),CHI
453,2,,MISS Mirotic  3PT Step Back Jump Shot,CHI
454,4,Lowry REBOUND (Off:0 Def:5),,TOR
455,2,MISS Scola 3' Jump Shot,Gasol BLOCK (3 BLK),TOR
456,4,Scola REBOUND (Off:5 Def:0),,TOR
457,1,Scola 2' Putback Layup (22 PTS),,TOR
458,1,,Gasol 14' Jump Shot (18 PTS) (Butler 5 AST),CHI
459,6,,Brooks P.FOUL (P3.T4) (G.Petraitis),CHI
460,8,SUB: Carroll FOR Patterson,,TOR
461,9,RAPTORS Timeout: Regular (Full 4 Short 0),,
462,8,SUB: Valanciunas FOR Scola,,TOR
464,2,MISS Lowry 4' Hook Shot,,TOR
465,4,,Mirotic REBOUND (Off:1 Def:2),CHI
466,1,,Butler 25' 3PT Pullup Jump Shot (36 PTS),CHI
467,6,,Butler S.FOUL (P2.PN) (G.Petraitis),CHI
468,3,DeRozan Free Throw 1 of 2 (23 PTS),,TOR
470,3,DeRozan Free Throw 2 of 2 (24 PTS),,TOR
472,6,DeRozan P.FOUL (P3.PN) (R.Garretson),,TOR
473,3,,Mirotic Free Throw 1 of 2 (16 PTS),CHI
475,3,,Mirotic Free Throw 2 of 2 (17 PTS),CHI
477,6,,Butler P.FOUL (P3.PN) (G.Petraitis),CHI
478,3,Valanciunas Free Throw 1 of 2 (5 PTS),,TOR
480,3,Valanciunas Free Throw 2 of 2 (6 PTS),,TOR
482,1,,Butler 7' Driving Floating Bank Jump Shot (38 PTS),CHI
484,2,MISS Lowry 26' 3PT Pullup Jump Shot,,TOR
485,4,,Butler REBOUND (Off:1 Def:3),CHI
486,2,,MISS Butler 21' Jump Shot,CHI
487,4,,Moore REBOUND (Off:1 Def:0),CHI
488,1,,Moore 3' Jump Shot (4 PTS),CHI
489,9,RAPTORS Timeout: Regular (Full 5 Short 0),,
493,1,Lowry 16' Turnaround Fadeaway (22 PTS),,TOR
494,9,,Bulls Timeout: Regular (Reg.5 Short 1),
495,8,SUB: Biyombo FOR Valanciunas,,TOR
498,1,,Butler  3PT Jump Shot (41 PTS),CHI
499,18,,,
501,9,RAPTORS Timeout: Short (Full 5 Short 1),,
502,8,SUB: Patterson FOR Biyombo,,TOR
503,8,,SUB: Snell FOR Mirotic,CHI
504,8,,SUB: Gibson FOR Brooks,CHI
505,2,MISS Lowry 1' Driving Layup,,TOR
506,4,,Gasol REBOUND (Off:1 Def:12),CHI
507,6,Carroll P.FOUL (P2.PN) (N.Buchert),,TOR
508,3,,Gasol Free Throw 1 of 2 (19 PTS),CHI
510,8,SUB: Valanciunas FOR Joseph,,TOR
511,3,,MISS Gasol Free Throw 2 of 2,CHI
513,4,Carroll REBOUND (Off:0 Def:3),,TOR
514,9,RAPTORS Timeout: Short (Full 5 Short 2),,
516,8,SUB: Ross FOR Patterson,,TOR
518,2,MISS DeRozan 4' Driving Floating Jump Shot,Gasol BLOCK (4 BLK),TOR
519,4,,Snell REBOUND (Off:0 Def:2),CHI
520,6,Lowry P.FOUL (P1.PN) (R.Garretson),,TOR
521,3,,MISS Gibson Free Throw 1 of 2,CHI
522,4,,Bulls Rebound,
523,3,,Gibson Free Throw 2 of 2 (9 PTS),CHI
525,2,MISS Carroll 25' 3PT Pullup Jump Shot,,TOR
526,4,Valanciunas REBOUND (Off:4 Def:5),,TOR
527,1,Valanciunas  Putback Dunk (8 PTS),,TOR
528,6,Lowry P.FOUL (P2.PN) (R.Garretson),,TOR
530,3,,MISS Butler Free Throw 1 of 2,CHI
531,4,,Bulls Rebound,
532,3,,Butler Free Throw 2 of 2 (42 PTS),CHI
534,2,MISS DeRozan 25' 3PT Turnaround Jump Shot,,TOR
535,4,RAPTORS Rebound,,
536,13,,,
